thread,budget_per_metacycle,total_budget,vertices_walked,vertices_per_metacycle,vertices_per_1000_cycles,budget_multiple,work_multiple,linearity_ratio
0,100,1000000,13333,1.333300,13.333000,1.000000,1.000000,1.000000
1,200,2000000,26666,2.666600,13.333000,2.000000,2.000000,1.000000
2,300,3000000,40000,4.000000,13.333333,3.000000,3.000075,1.000025
3,400,4000000,53333,5.333300,13.333250,4.000000,4.000075,1.000019
4,500,5000000,66666,6.666600,13.333200,5.000000,5.000075,1.000015
5,600,6000000,80000,8.000000,13.333333,6.000000,6.000150,1.000025
6,700,7000000,93333,9.333300,13.333286,7.000000,7.000150,1.000021
7,800,8000000,106666,10.666600,13.333250,8.000000,8.000150,1.000019
8,900,9000000,120000,12.000000,13.333333,9.000000,9.000225,1.000025
9,1000,10000000,133333,13.333300,13.333300,10.000000,10.000225,1.000023
